epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
80,766.127,0.0301,0.988,1,0.04609,0.0004786,0.0004786,0.0004786
81,775.416,0.04227,0.982,1,0.07007,0.000472,0.000472,0.000472
82,784.162,0.03964,0.986,1,0.03558,0.0004654,0.0004654,0.0004654
83,792.17,0.02652,0.982,1,0.0399,0.0004588,0.0004588,0.0004588
84,803.256,0.02118,0.982,1,0.06487,0.0004522,0.0004522,0.0004522
85,811.997,0.01719,0.98,1,0.05798,0.0004456,0.0004456,0.0004456
86,821.099,0.01356,0.984,1,0.04197,0.000439,0.000439,0.000439
87,829.134,0.02263,0.988,1,0.04308,0.0004324,0.0004324,0.0004324
88,836.536,0.0302,0.984,1,0.07144,0.0004258,0.0004258,0.0004258
89,844.952,0.01772,0.986,1,0.04671,0.0004192,0.0004192,0.0004192
90,855.775,0.01683,0.988,1,0.03121,0.0004126,0.0004126,0.0004126
91,863.407,0.01708,0.984,1,0.03838,0.000406,0.000406,0.000406
92,874.995,0.02407,0.986,1,0.03835,0.0003994,0.0003994,0.0003994
93,881.952,0.03361,0.982,1,0.04755,0.0003928,0.0003928,0.0003928
94,893.975,0.02844,0.986,1,0.0412,0.0003862,0.0003862,0.0003862
95,902.101,0.02689,0.986,1,0.03871,0.0003796,0.0003796,0.0003796
96,909.942,0.02605,0.982,1,0.06961,0.000373,0.000373,0.000373
97,918.951,0.0188,0.99,1,0.06286,0.0003664,0.0003664,0.0003664
98,927.538,0.02498,0.984,1,0.04686,0.0003598,0.0003598,0.0003598
99,937.788,0.01361,0.984,1,0.07236,0.0003532,0.0003532,0.0003532
100,945.984,0.01711,0.984,1,0.06483,0.0003466,0.0003466,0.0003466
101,955.417,0.01482,0.988,1,0.05199,0.00034,0.00034,0.00034
102,965.074,0.01339,0.992,1,0.05133,0.0003334,0.0003334,0.0003334
103,974.794,0.01773,0.992,1,0.05907,0.0003268,0.0003268,0.0003268
104,982.57,0.01427,0.982,1,0.06801,0.0003202,0.0003202,0.0003202
105,991.837,0.01755,0.984,1,0.05386,0.0003136,0.0003136,0.0003136
106,1000.74,0.02468,0.99,1,0.03547,0.000307,0.000307,0.000307
107,1010.69,0.03172,0.99,1,0.03875,0.0003004,0.0003004,0.0003004
108,1020.45,0.01905,0.986,1,0.0506,0.0002938,0.0002938,0.0002938
109,1028.47,0.0182,0.988,1,0.0541,0.0002872,0.0002872,0.0002872
110,1039.6,0.01773,0.982,1,0.05852,0.0002806,0.0002806,0.0002806
111,1046.93,0.01581,0.984,1,0.05179,0.000274,0.000274,0.000274
112,1058.85,0.01638,0.988,1,0.04796,0.0002674,0.0002674,0.0002674
113,1068.76,0.01055,0.988,1,0.0466,0.0002608,0.0002608,0.0002608
114,1077.75,0.00896,0.988,1,0.04943,0.0002542,0.0002542,0.0002542
115,1086.77,0.01073,0.986,1,0.04686,0.0002476,0.0002476,0.0002476
116,1096.51,0.01013,0.994,1,0.03217,0.000241,0.000241,0.000241
117,1105.79,0.01507,0.992,1,0.03274,0.0002344,0.0002344,0.0002344
118,1114.8,0.01372,0.992,1,0.0409,0.0002278,0.0002278,0.0002278
119,1122.61,0.01184,0.988,1,0.04318,0.0002212,0.0002212,0.0002212
120,1134.11,0.02025,0.988,1,0.0587,0.0002146,0.0002146,0.0002146
121,1143.7,0.01493,0.988,1,0.05962,0.000208,0.000208,0.000208
122,1153.42,0.01765,0.99,1,0.05701,0.0002014,0.0002014,0.0002014
123,1161.91,0.00826,0.986,1,0.05344,0.0001948,0.0001948,0.0001948
124,1169.77,0.00734,0.988,1,0.04684,0.0001882,0.0001882,0.0001882
125,1181.38,0.01073,0.986,1,0.05892,0.0001816,0.0001816,0.0001816
126,1190.45,0.00919,0.98,1,0.07779,0.000175,0.000175,0.000175
127,1199.45,0.01286,0.984,1,0.05402,0.0001684,0.0001684,0.0001684
128,1208.28,0.01071,0.982,0.998,0.07782,0.0001618,0.0001618,0.0001618
